grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude,zipcode
28,Foxtrot,"4818 Burnet Rd, Austin, TX 78756",4,30.31950292,-97.73948736,78756
29,Fresh Plus Grocery,"1221 W Lynn St, Austin, TX 78703",4,30.28084,-97.75843,78703
30,Randalls,"2727 Exposition Blvd, Austin, TX 78703",3,30.3042649,-97.7638905,78703
31,H-E-B,"7015 Village Center Dr, Austin, TX 78731",3.5,30.35219765,-97.75531006,78731
32,Brookshire Brothers,"8087 Bronco Ln, Lago Vista, TX 78645",5,30.4816151,-97.9758133,78645
33,West Campus Market,"714 W 22nd St, Austin, TX 78705",4,30.28515564,-97.74634951,78705
34,David's Food,"912 W Mary St, Austin, TX 78704",4.5,30.24835672,-97.7617974,78704
35,Kin's Market,"2605 Whitis Ave, Austin, TX 78705",4,30.29034,-97.73961,78705
36,Fresh Plus Grocery,"2917 W Anderson Ln, Austin, TX 78757",4,30.35836,-97.739096,78757
37,Sprouts Farmers Market,"10225 Research Blvd, Ste 1000, Austin, TX 78759",3.5,30.39500642,-97.74473222,78759
38,Randalls,"10900 Research Blvd, Austin, TX 78759",3,30.40169,-97.74737,78759
39,H-E-B plus!,"2508 E Riverside Dr, Austin, TX 78741",2.5,30.23623576,-97.72225964,78741
40,Natural Grocers,"4615 N Lamar Blvd, Ste 304, Austin, TX 78751",4,30.31532015,-97.73479322,78751
41,Randalls,"2025 W Ben White Blvd, Austin, TX 78704",2.5,30.22940247,-97.79002763,78704
42,Randalls,"5311 Balcones Dr, Austin, TX 78731",3,30.33561186,-97.75793717,78731
43,Bluebonnet Food Mart,"1701 Bluebonnet Ln, Austin, TX 78704",4.5,30.254449,-97.771911,78704
44,HEB Grocery,"7112 Ed Bluestein, Ste 125, Austin, TX 78723",1.5,30.31210486,-97.66479428,78723
45,Royal Blue Grocery - Congress Ave,"609 Congress Ave, Austin, TX 78701",4.5,30.26831,-97.74227,78701
46,El Rancho Supermercado,"8752 Research Blvd, Austin, TX 78757",3.5,30.365017,-97.719646,78757
47,Trader Joe's,"2805 Bee Cave Rd, Austin, TX 78746",4.5,30.270137,-97.789814,78746
48,The Corner Market,"11010 Domain Dr, Ste 112, Austin, TX 78758",3,30.39678,-97.72702,78758
49,H-E-B,"5808 Burnet Rd, Austin, TX 78756",3.5,30.33439,-97.74072,78756
50,Randalls,"3300 Bee Caves Rd, West Lake Hills, TX 78746",3.5,30.274805,-97.799185,78746
51,Asahi Imports,"3005 S Lamar Blvd, Ste B-105B, Austin, TX 78704",5,30.2418,-97.78441,78704
52,Sprouts Farmers Market,"6920 Menchaca Rd, Austin, TX 78745",3.5,30.20237755,-97.80828067,78745
53,Maha Market,"5212 Manchaca Rd, Austin, TX 78745",4.5,30.21887,-97.79554,78745
54,Mlk Food Store,"2915 E Mlk Jr Blvd, Austin, TX 78702",4.5,30.28183768,-97.70782537,78702
55,Quickie Pickie,"1208 E 11th St, Austin, TX 78702",4,30.268796,-97.727235,78702
56,Randalls,"1500 W 35th St, Austin, TX 78703",2.5,30.30660432,-97.74901727,78703
57,H-E-B,"7301 N FM 620, Austin, TX 78726",3.5,30.40424,-97.851632,78726
58,Avenue B Grocery & Market,"4403 Ave B, Austin, TX 78751",4,30.30904,-97.73142,78751
59,La Michoacana Meat Market,"9308 N Lamar Blvd, Austin, TX 78753",4.5,30.36222,-97.69832,78753
60,Natural Grocers,"10515 N Mo-Pac Expy, Bldg L, Austin, TX 78759",4,30.3877438,-97.7330983,78759
