city,state,zipcode,address,price,bedrooms,bathrooms,square_foot,latitude,longitude,sale_amount,sale_transaction_date
CEDAR PARK,TX,78613,1808 LION HEART DR,407934.0,3,2.0,2006.0,30.477469,-97.844901,492813.0,2021-05-07
CEDAR PARK,TX,78613,2520 DURLSTON CT,853266.0,4,3.0,3579.0,30.471619,-97.849963,638000.0,2020-03-05
CEDAR PARK,TX,78613,1025 HORNE DR,656100.0,4,2.0,3165.0,30.485385,-97.857841,430625.0,2021-02-26
CEDAR PARK,TX,78613,3007 PEPPER GRASS TRL,414270.0,3,2.0,2180.0,30.463967,-97.832081,289900.0,2020-06-16
CEDAR PARK,TX,78613,2311 DARTFORD BND,616105.0,3,2.0,2795.0,30.468208,-97.845141,530000.0,2021-04-16
CEDAR PARK,TX,78613,1802 PURPLE SAGE DR,645174.0,4,3.0,3606.0,30.474196,-97.852138,337500.0,2021-02-12
CEDAR PARK,TX,78613,2400 DARTFORD BND,991610.0,6,4.0,4671.0,30.467805,-97.845471,1250000.0,2022-06-17
CEDAR PARK,TX,78613,2400 TEXAN DR,671413.0,4,2.0,3318.0,30.479271,-97.85127,323750.0,2022-12-19
CEDAR PARK,TX,78613,2401 MELEKHIN BND,745439.0,4,3.0,4026.0,30.480738,-97.852378,442500.0,2023-10-12
CEDAR PARK,TX,78613,1811 IRIS LN,417315.0,3,2.0,1596.0,30.477247,-97.843058,335000.0,2020-09-14
CEDAR PARK,TX,78613,2404 MANCUSO BND,761000.0,4,2.0,3452.0,30.484684,-97.853696,685313.0,2021-05-24
CEDAR PARK,TX,78613,2502 GUARA DR,936418.0,5,2.0,4399.0,30.466403,-97.84682,781250.0,2022-08-15
CEDAR PARK,TX,78613,2505 WANAKAH RIDGE DR,698250.0,3,2.0,3468.0,30.460106,-97.843836,750000.0,2022-05-03
CEDAR PARK,TX,78613,1102 LYNSENKO DR,1046726.0,4,3.0,4703.0,30.48533,-97.855001,996000.0,2022-05-29
CEDAR PARK,TX,78613,2707 CULVER CLIFF LN,899876.0,5,4.0,4083.0,30.464168,-97.850904,949000.0,2022-09-01
CEDAR PARK,TX,78613,2709 CHECKER DR,747786.0,4,2.0,2958.0,30.487144,-97.85698,425000.0,2020-09-03
CEDAR PARK,TX,78613,2709 GRAND OAKS LOOP,934895.0,4,3.0,4285.0,30.459116,-97.856009,637500.0,2020-07-23
CEDAR PARK,TX,78613,2711 BRUBECK BND,668330.0,4,2.0,3184.0,30.486655,-97.857874,551250.0,2021-06-02
CEDAR PARK,TX,78613,2712 CHECKER DR,675368.0,4,2.0,3200.0,30.487033,-97.857877,626250.0,2021-04-05
CEDAR PARK,TX,78613,2715 GHOLSON DR,1008007.0,5,4.0,4581.0,30.477998,-97.855701,950000.0,2023-05-05
CEDAR PARK,TX,78613,2738 GRAND OAKS LOOP,848974.0,4,3.0,3754.0,30.456806,-97.855446,685313.0,2021-08-20
CEDAR PARK,TX,78613,4524 THREE ARROWS CT,746817.0,5,4.0,3687.0,30.518969,-97.75042,902688.0,2022-03-18
CEDAR PARK,TX,78613,726 EDWARDS WALK DR,709407.0,4,4.0,3411.0,30.520129,-97.753314,484375.0,2023-05-22
CEDAR PARK,TX,78613,1504 MENTEER DR,596253.0,4,3.0,3713.0,30.486395,-97.839022,818188.0,2023-01-03
CEDAR PARK,TX,78613,2021 TATTLER DR,639871.0,3,2.0,2574.0,30.470138,-97.85004,628000.0,2023-06-29
CEDAR PARK,TX,78613,2908 ALLERFORD CT,1141296.0,4,4.0,4835.0,30.465173,-97.853497,807750.0,2020-10-01
CEDAR PARK,TX,78613,3001 APPENNINI WAY,720000.0,4,2.0,3274.0,30.459583,-97.849454,809000.0,2022-08-10
CEDAR PARK,TX,78613,3010 HEATHMOUNT DR,649770.0,4,2.0,2969.0,30.461508,-97.853943,806456.0,2022-05-18
CEDAR PARK,TX,78613,1714 PASEO CORTO DR,951652.0,5,4.0,4438.0,30.473904,-97.85455,1101000.0,2022-06-08
CEDAR PARK,TX,78613,2301 DARTFORD BND,642534.0,3,2.0,2795.0,30.467352,-97.844511,556938.0,2022-11-28
CEDAR PARK,TX,78613,3104 PEPPER GRASS TRL,390116.0,3,2.0,1911.0,30.463977,-97.831101,423938.0,2021-01-22
CEDAR PARK,TX,78613,3109 ARGENTO PL,916598.0,6,4.0,4440.0,30.455108,-97.847491,831250.0,2023-05-19
CEDAR PARK,TX,78613,13101 RUNNING DOE LN,745787.0,5,4.0,3964.0,30.51436,-97.881862,470887.0,2020-06-15
CEDAR PARK,TX,78613,3110 FIORELLINO PL,830430.0,4,3.0,3810.0,30.455879,-97.847715,1187500.0,2022-04-28
DEL VALLE,TX,78617,11805 CHAMBERS PEAK CV,325376.0,4,2.0,2387.0,30.161146,-97.642318,393000.0,2022-04-21
DEL VALLE,TX,78617,6721 SAVANNA CANYON DR,218108.0,3,1.0,1376.0,30.161468,-97.640591,261000.0,2021-10-06
DEL VALLE,TX,78617,11612 MAYBACH DR,289008.0,3,2.0,1570.0,30.157806,-97.647749,225000.0,2021-03-22
