property_id,rest_id
967,579
967,582
967,601
967,620
967,623
967,629
967,634
967,638
967,653
967,659
967,662
967,669
967,673
967,676
967,678
967,679
967,681
967,682
967,694
967,710
967,713
967,717
967,722
967,723
967,724
967,726
967,729
967,735
967,740
967,752
967,766
967,767
967,769
967,794
967,809
967,824
967,827
967,838
967,839
967,844
967,852
967,858
967,860
967,861
967,884
967,888
967,889
967,894
967,903
967,909
967,916
967,922
967,923
967,926
967,947
967,967
967,984
967,996
968,41
968,110
968,133
968,210
968,236
968,253
968,266
968,303
968,307
968,321
968,353
968,358
968,359
968,386
968,428
968,470
968,505
968,511
968,543
968,557
968,569
968,581
968,589
968,598
968,633
968,648
968,655
968,657
968,697
968,703
968,709
968,721
968,737
968,738
968,763
968,772
968,776
968,782
968,816
968,873
968,881
968,901
968,925
968,928
968,938
968,963
968,973
968,999
969,2
969,9
969,10
969,21
969,23
969,29
969,33
969,35
969,36
969,38
969,39
969,57
969,59
969,78
969,80
969,82
969,88
969,89
969,91
969,95
969,99
969,101
969,110
969,133
969,134
969,135
969,138
969,140
969,145
969,155
969,160
969,161
969,162
969,170
969,194
969,197
969,201
969,205
969,216
969,217
969,245
969,266
969,271
969,278
969,285
969,293
969,303
969,325
969,328
969,340
969,341
969,345
969,353
969,358
969,363
969,383
969,396
969,418
969,421
969,437
969,480
969,495
969,496
969,515
969,516
969,520
969,527
969,550
969,569
969,570
969,576
969,579
969,581
969,592
969,598
969,601
969,620
969,635
969,638
969,648
969,678
969,680
969,682
969,690
969,696
969,710
969,714
969,729
969,734
969,740
969,748
969,752
969,782
969,816
969,827
969,828
969,858
969,860
969,866
969,870
969,874
969,878
969,894
969,895
969,914
969,921
969,925
969,962
969,967
969,973
969,996
970,2
970,9
970,10
970,29
970,36
970,39
970,41
970,59
970,78
970,80
970,101
970,110
970,133
970,134
970,135
970,145
970,155
970,161
970,162
970,169
970,170
970,201
970,210
970,217
970,266
970,303
970,325
970,328
970,341
970,353
970,358
970,363
970,418
970,480
970,496
970,515
970,516
970,527
970,550
970,557
970,569
970,570
970,581
970,592
970,598
970,601
970,648
970,678
970,680
970,696
970,714
970,729
970,734
970,737
970,752
970,762
970,782
970,816
970,828
970,866
970,870
970,878
970,881
970,895
970,914
970,921
970,925
970,962
970,967
970,973
970,996
971,41
971,110
971,133
971,210
971,236
971,253
971,266
971,303
971,307
971,353
971,358
971,359
971,386
971,428
971,470
971,505
971,511
971,543
971,557
971,569
971,581
971,589
971,598
971,633
971,648
971,655
971,657
971,697
971,703
971,709
971,721
971,737
971,738
971,763
971,772
971,776
971,782
971,816
971,873
971,881
971,901
971,925
971,928
971,938
971,962
971,963
971,973
971,999
973,8
973,26
973,64
973,141
973,185
973,190
973,208
973,234
973,272
973,432
973,457
973,469
973,473
973,497
973,501
973,524
973,566
973,580
973,831
973,912
973,959
974,207
974,211
974,229
974,273
974,411
974,500
974,841
974,849
975,207
975,211
975,221
975,273
975,364
975,379
975,451
975,500
975,720
975,784
975,849
975,871
975,956
976,14
976,72
976,229
976,262
976,265
976,445
976,524
976,554
976,585
976,609
976,621
976,631
976,747
976,780
976,818
976,825
976,841
976,927
976,940
976,943
976,979
977,3
977,24
977,56
977,237
977,327
977,329
977,338
977,423
977,456
977,461
977,647
977,711
977,791
977,805
977,891
978,207
978,211
978,229
978,273
978,411
978,500
978,841
978,849
979,14
979,16
979,229
979,262
979,265
979,273
979,445
979,524
979,585
979,609
979,825
979,841
979,849
980,19
980,43
980,114
980,119
980,146
980,190
980,208
980,220
980,224
980,234
980,237
980,254
980,400
980,433
980,457
980,467
980,497
980,501
980,525
980,555
980,575
980,580
980,649
980,741
980,755
980,831
980,959
981,8
981,26
981,64
981,119
981,137
981,141
981,146
981,156
981,185
981,190
981,199
981,208
981,213
981,228
981,234
981,237
981,251
981,254
981,263
981,272
981,319
981,329
981,409
981,422
981,432
981,457
981,469
981,473
981,477
981,497
981,501
981,524
981,553
