rest_id,rest_name,rest_address,rest_ratings,latitude,longitude
201,Troy ATX,"8105 Mesa Dr, Ste A, Austin, TX 78759",4.5,30.37175330429634,-97.75642245962428
202,JewBoy Sliders,"1111 E 6th St, Austin, TX 78702",4.5,30.26433453613327,-97.73065075278282
203,Another Broken Egg Cafe,"6406 N Interstate 35 Frontage Rd, Ste 1600, Austin, TX 78752",4.5,30.326301473357095,-97.7078058341169
204,Gina's on Congress,"314 Congress Ave, Austin, TX 78701",5.0,30.265866,-97.743919
205,Licha's Cantina,"1306 E 6th St, Austin, TX 78702",4.0,30.264108,-97.728966
206,1417 French Bistro,"1417 S 1st St, Austin, TX 78704",4.0,30.250066037529177,-97.75453119097894
207,Nixta Taqueria,"2512 E 12th St, Austin, TX 78702",4.5,30.27496,-97.71324
208,Jacoby's Restaurant & Mercantile,"3235 E Cesar Chavez St, Austin, TX 78702",4.0,30.2515,-97.70737
209,Murray's Tavern,"2316 Webberville Rd, Austin, TX 78702",5.0,30.262752484473964,-97.715280279381
210,Yeni’s Fusion,"6507 Burnet Rd, Austin, TX 78757",4.5,30.34023,-97.73859
211,P6,"111 E Cesar Chavez St, Austin, TX 78701",3.5,30.26278,-97.74396
212,Eldorado Cafe,"3300 W Anderson Ln, Austin, TX 78757",4.5,30.362224,-97.7423571527181
213,Ramen Tatsu-Ya,"1600 E 6th St, Austin, TX 78702",4.0,30.26326,-97.72624
214,Underdog,"1600 S 1st St, Ste 100, Austin, TX 78704",4.0,30.24887,-97.755709
215,Xian Sushi and Noodle - Mueller,"1801 E 51st St, Ste C370, Bldg C370, Austin, TX 78723",4.0,30.303091523529712,-97.6991645424319
216,Playground ATX,"5001 Airport Blvd, Austin, TX 78751",5.0,30.311186397436675,-97.7150455
217,Hideaway Kitchen & Bar,"4323 S Interstate 35, Austin, TX 78744",4.0,30.211803959592007,-97.75300058162378
218,Hawaiian Bros Island Grill,"8023 Burnet Rd, Austin, TX 78757",4.0,30.35914130532079,-97.7296505326556
219,Veracruz All Natural,"111 E Cesar Chavez St, Austin, TX 78701",4.0,30.262738,-97.743737
220,Nosh & Bevvy,"8440 Burnet Rd, Austin, TX 78757",4.0,30.3654772101226,-97.7288885435165
221,REVUE,"101 Red River St, Austin, TX 78701",4.0,30.262223559801377,-97.73837281317194
222,KG BBQ,"3108 Manor Rd, Austin, TX 78723",4.5,30.28681,-97.70528
223,Rice Ball,"6929 Airport Blvd, Austin, TX 78752",4.0,30.33866555957456,-97.71820023558227
