grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude
219,Rolling In Thyme & Dough,"333 W Hwy 290, Dripping Springs, TX 78620",4.5,30.1912259316863,-98.0904798510681
220,La Plaza Market,"2100 S Austin Ave, Georgetown, TX 78626",4.0,30.6240637439288,-97.6797910407186
221,H-E-B,"100 Carlos G Parker Blvd NW, Ste 100, Taylor, TX 76574",2.0,30.602274103725232,-97.4185963334406
222,Walmart Supercenter,"4700 E Palm Valley Blvd, Round Rock, TX 78665",2.0,30.533879,-97.611333
223,Leander Grocery,"307 S Hwy 183, Leander, TX 78641",5.0,30.575435163513024,-97.85192117611795
224,La Mexicana Store,"2790 Goforth Rd, Kyle, TX 78640",2.0,30.0025196,-97.8257904
225,La Hacienda Market,"9717 N Lamar Blvd, Ste A4, Austin, TX 78753",4.0,30.366718,-97.694134
226,Aapka Bazaar,"1601 S I-35 Frontage Rd, Round Rock, TX 78664",5.0,30.494454,-97.676671
227,Minis Food Mart,"4429 Duval St, Austin, TX 78751",1.0,30.30669,-97.72445
228,T M Capital Food Mart,"8911 N Lamar Blvd, Austin, TX 78753",4.0,30.35792,-97.69955
229,H-E-B,"16900 N Ranch Rd 620, Round Rock, TX 78681",3.5,30.500585,-97.722806
230,H-E-B Foods,"15300 S I H 35, Buda, TX 78610",3.5,30.08842,-97.820113
231,Whole Foods Market,"5001 183 Toll Rd, Cedar Park, TX 78613",3.5,30.535625382580942,-97.81767839
232,Alfason African Market,"13010 West Parmer Ln, Ste 400, Cedar Park, TX 78613",5.0,30.53364339812088,-97.7810355
233,Duron Grocery Store,"135 Stony Creek Dr, Del Valle, TX 78617",5.0,30.1342277526855,-97.5677185058594
234,Hutto Grocery Store,"550 S Fm 1660, Hutto, TX 78634",1.5,30.5353483557701,-97.5433541089296
235,Conoco,"310 E Rundberg Ln, Austin, TX 78753",1.0,30.36019,-97.69153
236,U-Pak-M,"11940 Manchaca Rd, Ste 101, Austin, TX 78748",4.0,30.1457974460149,-97.8335337619955
