school_id,school_name,school_address,school_ratings,latitude,longitude,zipcode
79,Songbird Rising Suzuki School,"Austin, TX 78751",5,30.31082102,-97.72274383,78751
80,Studio Preparatory,"5925 Dillard Cir, Ste B, Austin, TX 78752",5,30.325373,-97.718093,78752
81,Smile Swim School,"Austin, TX 78746",5,30.27349,-97.80508,78746
82,"Life Ki-do Martial Arts, Parenting & Life Education","3636 Bee Caves Rd, Ste 212, Austin, TX 78746",5,30.2793732,-97.8058692,78746
83,Challenger School - Pond Springs,"13015 Pond Springs Rd, Austin, TX 78729",5,30.44108,-97.77288,78729
84,Joy Park Montessori Education,"13171 Pond Springs Rd, Austin, TX 78729",5,30.44506,-97.77729,78729
85,Wild Life Forest Preschool,"137 Woodview Ln, Bastrop, TX 78602",5,30.09257,-97.41629,78602
86,Rising Stars Preschool,"3307 El Salido Pkwy, Cedar Park, TX 78613",5,30.460596,-97.828462,78613
87,Regents School of Austin K-12,"3230 Travis Country Cir, Austin, TX 78735",4,30.25453419,-97.84535942,78735
88,Westlake Chinese Academy,"6800 Spanish Oaks Club Blvd, Austin, TX 78738",5,30.30443,-97.94824,78738
89,St. George's Episcopal School,"4301 N Ih 35, Austin, TX 78722",5,30.300362,-97.715483,78722
90,Champions Gymnastics and Cheer,"1314 Exposition Blvd, Austin, TX 78703",4.5,30.28931,-97.77303,78703
91,St John Neumann Preschool,"5455 Bee Cave Rd, Austin, TX 78746",3.5,30.29024315,-97.82378387,78746
92,Texas Health & Science University,"4005 Manchaca Rd, Main Campus, Austin, TX 78704",4.5,30.233133,-97.785194,78704
93,Austin School of Film,"2200 Tillery St, Austin, TX 78723",3,30.28577423,-97.70291901,78723
94,The Girls' School of Austin,"2007 McCall Rd, Austin, TX 78703",4,30.29282,-97.76352,78703
95,Monsoon Dance - Bollywood and Yoga,"8650 Spicewood Springs Rd, Ste 118, Austin, TX 78759",4.5,30.43212938,-97.77114861,78759
96,Camp Balcones Springs,"104 Balcones Springs Dr, Marble Falls, TX 78654",5,30.55772,-98.11611,78654
97,Clearview Sudbury School,"1507 Wilshire Blvd, Austin, TX 78722",5,30.29585,-97.7111,78722
98,St Edward's University,"3001 S Congress Ave, Austin, TX 78704",4.5,30.23157407,-97.75669828,78704
99,Hyde Park Baptist Schools,"3901 Speedway, Austin, TX 78751",4,30.30175883,-97.73217233,78751
100,Happy Swimmers USA,"Austin, TX 73301",5,30.21939087,-97.74754333,73301
101,SoccerZone South Austin,"9501 Menchaca Rd, Bldg 1, Austin, TX 78748",3.5,30.1766051,-97.8197144,78748
102,Cedar Ridge High School,"2801 Gattis School Rd, Round Rock, TX 78664",2,30.491704,-97.640633,78664
103,Wizard Academy,"16221 Crystal Hills Dr, Austin, TX 78737",5,30.14502,-97.966571,78737
104,UT CELTA Center,"110 Inner Campus Dr, MAI 7, Austin, TX 78705",5,30.28800113,-97.74324864,78705
105,Little Sunshine's Playhouse and Preschool of Lakeway,"1501 Lohmans Crossing Rd, Lakeway, TX 78734",5,30.35554067,-97.97793955,78734
106,Austin Discovery School,"9303 FM 969, Austin, TX 78724",3.5,30.26782854,-97.63492536,78724
107,AHB Community School,"4001 Speedway, Austin, TX 78751",4.5,30.3031802,-97.731615,78751
108,Trulove Montessori,"1406 N LP Blvd, Austin, TX 78756",5,30.324652,-97.736454,78756
109,Trillium Montessori,"9707 Anderson Mill Rd, Ste 350, Austin, TX 78750",4,30.447151,-97.794247,78750
110,Del Valle High School,"5201 Ross Rd, Del Valle, TX 78617",4.5,30.17892898,-97.61364232,78617
111,EMTS Academy,"1555 University Blvd, Room 401, Round Rock, TX 78665",3.5,30.5679886,-97.6551533,78665
112,St Dominic Savio Catholic High School,"9300 Neenah Ave, Austin, TX 78717",3.5,30.49000437,-97.75903084,78717
113,Austin Community College - South Austin Campus,"1820 W Stassney Ln, Austin, TX 78745",3,30.215514,-97.796003,78745
114,Children's Lighthouse of Cedar Park - Brushy Creek,"2501 Brushy Creek Rd, Cedar Park, TX 78613",4.5,30.507637,-97.7803878,78613
115,"Cook, Learn, Grow-a Kid's Cooking School","Main St, Austin, TX 78735",5,30.308522,-97.759935,78735
116,Mathnasium - North Austin,"10401 Anderson Mill Rd, Ste 109A, Austin, TX 78750",4,30.44640576,-97.80540168,78750
117,Kipp Austin Obras,"5107 I-35 S, Ste A, Austin, TX 78742",1,30.20265207,-97.75689519,78742
118,Happy Bunnies Child Care School,"7212 Oak Meadow Dr, Austin, TX 78736",5,30.23459,-97.87911,78736
119,Escuelita Del Alma,"3109 N I H 35, Austin, TX 78722",4,30.28960609,-97.71535492,78722
120,Creative Action,"1023 Springdale Blvd, Bldg 3, Austin, TX 78721",4.5,30.267079,-97.692381,78721
121,Huston-Tillotson University,"900 Chicon St, Austin, TX 78702",2.5,30.264553,-97.722321,78702
122,Synergy Dance Studio,"3425 Bee Caves Rd, Ste C1, Austin, TX 78746",4.5,30.276298,-97.803838,78746
123,CyberTex Institute of Technology,"6300 La Calma Dr, Ste 350, Austin, TX 78752",2,30.3242521,-97.7028115,78752
124,Primrose School of Cedar Park West,"2021 Little Elm Trl, Cedar Park, TX 78613",4.5,30.47898306,-97.83018351,78613
125,Round Rock Christian Academy,"301 N Lake Creek Dr, Round Rock, TX 78681",5,30.509232,-97.693745,78681
126,Chaparral Star Academy,"14046 Summit Dr, Austin, TX 78728",4,30.4379807,-97.6917725,78728
127,Cedar Park High School,"2150 Cypress Creek Rd, Cedar Park, TX 78613",3.5,30.473239,-97.843945,78613
128,St Martin's Lutheran Preschool,"606 W 15th St, Austin, TX 78701",5,30.27895,-97.74573,78701
129,Wayside Schools,"6405 S Ih 35, Austin, TX 78744",1,30.19162,-97.76734,78744
130,New Era Martial Arts,"10203 Old Manchace Rd, Ste B, Austin, TX 78748",5,30.172736,-97.830284,78748
131,Austin Jewish Academy,"7300 Hart Ln, Austin, TX 78731",5,30.358901,-97.758379,78731
132,"Los Amiguitos, Immersion, Nature and Community School","Austin, TX 78721",5,30.26886177,-97.68344116,78721
133,Central Texas Beauty College,"1400 N Mays St, Round Rock, TX 78664",4,30.5207765,-97.6849095,78664
134,School of Rock,"9600 I-35, Ste I-100, Austin, TX 78748",4,30.16055,-97.7908,78748
135,The University of Texas at Austin School of Law,"727 E Dean Keeton St, Austin, TX 78705",4,30.28892,-97.73049,78705
136,Casis Elementary School,"2710 Exposition Blvd, Austin, TX 78703",5,30.304369,-97.765049,78703
137,HOLA! Spanish Immersion Program,"11204 Fm 1826, Austin, TX 78737",5,30.19928845,-97.92128083,78737
138,South Congress KinderCare,"6434 S Congress Ave, Austin, TX 78745",4,30.195871,-97.77825875,78745
139,International Montessori - North Austin Campus,"11124 Jollyville Rd, Austin, TX 78759",4,30.40739,-97.74827,78759
140,Long-View Micro School,"1201 W 24th St, Ste 200, Austin, TX 78705",5,30.2881,-97.75075,78705
141,Next Gen Mu Sool,"2110 W Slaughter Ln, Ste 145, Austin, TX 78748",5,30.17588139,-97.82631764,78748
142,Saida's Little People,"5006 Crestmont Dr, Austin, TX 78756",4,30.32317543,-97.74201965,78756
143,Live The Language - Live In French,"Austin, TX 78737",5,30.17820168,-97.95783997,78737
144,Central Market Cooking School - Austin North Lamar,"4001 N Lamar, Austin, TX 78756",4.5,30.307617,-97.739876,78756
145,Primrose School of Shady Hollow,"12341 Brodie Ln, Austin, TX 78748",5,30.149006,-97.854439,78748
146,Extend-A-Care For Kids,"1510 Bebee Rd, Kyle, TX 78640",5,30.01507,-97.83843,78640
147,Dripping Springs Christian Academy,"800 W Hwy 290, Bldg C, Ste 100, Dripping Springs, TX 78620",5,30.193781,-98.099614,78620
148,Wonder Years,"4804 Grover Ave, Austin, TX 78756",4,30.31842,-97.73751,78756
149,Abacus School of Austin,"1720 S Bagdad Rd, Leander, TX 78641",4.5,30.5530089,-97.8569283,78641
150,St Gabriel's Catholic School,"2500 Wimberly Ln, Austin, TX 78735",5,30.29190951,-97.87380795,78735
151,Appamada School,"26450 Ranch Rd 12, Dripping Springs, TX 78620",4,30.17793478,-98.08441797,78620
152,St Edward's University Professional Education,"9420 Research Blvd, Austin, TX 78759",4,30.38411,-97.74392,78759
153,Whole Life Learning Center,"10801 Old San Antonio Rd, Austin, TX 78748",3.5,30.1472206,-97.7989578,78748
154,Cedar Creek High School,"793 Union Chapel Rd, Cedar Creek, TX 78612",5,30.13738372,-97.4706608,78612
155,Primrose School of Lakeway,"601 Ranch Road 620 S, Lakeway, TX 78734",4,30.358373,-97.954673,78734
156,Open Door Preschool East,"3804 Cherrywood Rd, Austin, TX 78722",3,30.2920406,-97.7135281,78722
157,Temple Beth Shalom,"7300 Hart Ln, Austin, TX 78731",4,30.358004,-97.755613,78731
158,Asian American Cultural Center,"11713 Jollyville Rd, Austin, TX 78759",4,30.41997,-97.75217,78759
159,Star Center Gymnastics,"3100 W Slaughter Ln, Bldg B, Austin, TX 78748",3.5,30.18060279,-97.84153709,78748
160,Rainbow's Edge Childcare,"12901 Silver Creek Dr, Austin , TX 78727",5,30.42918449,-97.71278637,78727
161,Austin Community College - Riverside Campus,"1020 Grove Blvd, Austin, TX 78741",2.5,30.24232264,-97.70179673,78741
162,The Language House,"Austin, TX 78751",5,30.3094624,-97.7311252,78751
163,Susie Fuentes Elem-Hays Cisd,"901 Goforth Rd, Kyle, TX 78640",3,30.00244424,-97.86061572,78640
164,Havenwood Nature School,"1000 Hays Country Acres Rd, Unit A, Dripping Springs, TX 78620",4.5,30.17846624,-98.04175696,78620
165,English Language Center,"110 Inner Campus Dr, MAI 7, Austin, TX 78712",4.5,30.286072,-97.739358,78712
166,Lake Travis High School - Austin,"3324 Ranch Rd 620 S, Austin, TX 78738",2,30.32761002,-97.96994781,78738
167,The Goddard School,"9313 Pearson Ranch Rd, Austin, TX 78717",3,30.50023165,-97.75027054,78717
168,HCI Sports & Fitness,"13875 Bee Cave Pkwy, Bee Cave, TX 78738",3.5,30.31223056,-97.95739258,78738
169,The PREP School of Dripping Springs,"12610 Nutty Brown Rd, Austin, TX 78737",5,30.2026553,-97.97243948,78737
170,Berkeley2 Academy,"3736 Bee Caves Rd, Ste 10, Austin, TX 78746",5,30.28068,-97.80693,78746
171,Ronkita Custom Sewing & Design,"Austin, TX 78703",5,30.29414362,-97.76570254,78703
172,Austin Community College - Highland Campus,"6101 Highland Campus Dr, Austin, TX 78752",3,30.32698268,-97.71376023,78752
173,Barton Hills Elementary,"2108 Barton Hills Dr, Austin, TX 78704",5,30.2550907,-97.7830734,78704
174,Dragonfly International School,"610 Hwy 290 W, Dripping Springs, TX 78620",3.5,30.19614162,-98.0866781,78620
175,Kepler STEM School,"508 Municipal Dr, Leander, TX 78641",5,30.57227,-97.85841,78641
176,ABC Driving School,"6516 S 1st St, Austin, TX 78745",4.5,30.19835,-97.78745,78745
177,Good Earth Farm School,"10820 E Crystal Falls Pkwy, Leander, TX 78641",4.5,30.56547,-97.81853,78641
178,Galindo Elementary,"3800 S 2nd St, Austin, TX 78704",1.5,30.2290802,-97.77107239,78704
179,Northwest Montessori House of Children,"1903 W Koenig Ln, Austin, TX 78756",5,30.3332301,-97.7371668,78756
180,Warriors Christian Academy,"3003 Blue Ridge Dr, Cedar Park, TX 78613",4.5,30.5232259,-97.8267159,78613
181,Concordia University Texas,"11400 Concordia University Dr, Austin, TX 78726",3,30.42014,-97.84012,78726
