park_id,park_name,park_address,park_ratings,zipcode,latitude,longitude
368,Del Curto Neighborhood Park,"3000 Del Curto, Austin, TX 78704",4.0,78704,30.241325378418,-97.7790451049805
369,Northcreek ranch park,"1001 N Creek Blvd, Leander, TX 78641",3.0,78641,30.58069923395183,-97.87198882992932
370,East Fourth Street park,"217 N Dolan St, Taylor, TX 76574",1.0,76574,30.57128160697113,-97.4004786663826
371,Mallard Pond Park,"19500 Mallard Pond Trail, Pflugerville, TX 78660",3.5,78660,30.47312421562718,-97.582336
372,Lone Tree Park,"2500 Stapleford Dr, Cedar Park, TX 78613",3.0,78613,30.53912,-97.84305
373,Old Town park,"300 2nd St S, Pflugerville, TX 78660",3.0,78660,30.43821838661901,-97.62342201509286
374,Houston School park,"5506 Tallow Tree Dr, Austin, TX 78744",3.0,78744,30.1964787,-97.7554729
375,Harris Ridge Dog Park,"14400 Harris Ridge Blvd, Pflugerville, TX 78660",4.0,78660,30.42048,-97.64474
376,Veterans Memorial park,"110 Depot St, Elgin, TX 78621",3.0,78621,30.3476858,-97.3710493
377,San Jose Splash Pad,"1707 San Jose St, Georgetown, TX 78626",4.5,78626,30.6293933093548,-97.6687353104353
378,Little Village Park,"16810 Whitebrush Lp, Austin, TX 78717",4.0,78717,30.508337,-97.738243
379,Edwards park,"704 Ash St, Georgetown, TX 78626",3.0,78626,30.63693944094344,-97.67337881534364
380,Creekside Park,"418 Settlers Valley Dr, Pflugerville, TX 78660",4.0,78660,30.4342277,-97.6259948
381,Park at Blackhawk at Lakeside,"3111 Speidel Dr, Pflugerville, TX 78660",4.5,78660,30.47637,-97.5658
382,Hanging Rock Park,"2001 Hanging Rock Dr, Pflugerville, TX 78660",3.0,78660,30.47112362759888,-97.58598100333042
383,Founders park,"814 S Church St, Georgetown, TX 78626",3.0,78626,30.63596584098774,-97.676198659457
384,Far West Dog Park,"7099 Great Northern Blvd, Austin, TX 78757",2.5,78757,30.3522377429314,-97.7471114695072
385,Family Viewing Area,"3600 Presidential Blvd, Austin, TX 78719",4.5,78719,30.2006454112877,-97.6547852014027
386,Hidden Glen park,"1001 Hidden Glen Dr, Round Rock, TX 78681",3.0,78681,30.545268864170495,-97.70286806187636
387,Chisholm Valley Park,"1201 Trey St, Round Rock, TX 78681",4.0,78681,30.4965547557573,-97.68762743496968
388,Lago Vista City Pool,"8012 Bar K Ranch Rd, Lago Vista, TX 78645",3.0,78645,30.4819765126546,-97.9792790228312
389,Secluded Willow Park,"1701 Secluded Willow Cv, Pflugerville, TX 78660",3.0,78660,30.47167070765456,-97.58987351298488
390,Springbrook Nieghborhood park,"17910 Wilke Ridge Lane, Pflugerville, TX 78664",3.0,78664,30.468693,-97.6244907
